iter	Passed	Remaining
0	161	160839
1	162	80922
2	164	54668
3	165	41217
4	166	33139
5	167	27736
6	168	23935
7	169	21052
8	170	18806
9	171	16999
10	172	15516
11	174	14372
12	175	13319
13	176	12427
14	177	11646
15	178	11001
16	179	10401
17	180	9862
18	181	9380
19	182	8945
20	183	8576
21	185	8225
22	186	7908
23	187	7607
24	187	7331
25	189	7102
26	190	6867
27	191	6654
28	192	6449
29	193	6257
30	194	6093
31	195	5925
32	196	5767
33	197	5616
34	198	5475
35	199	5349
36	200	5222
37	201	5101
38	202	4988
39	203	4885
40	204	4788
41	205	4691
42	206	4597
43	207	4505
44	208	4426
45	209	4349
46	210	4271
47	211	4198
48	212	4126
49	214	4069
50	215	4002
51	215	3937
52	216	3875
53	217	3813
54	218	3759
55	219	3706
56	220	3653
57	221	3600
58	222	3550
59	223	3501
60	225	3464
61	226	3420
62	227	3378
63	228	3335
64	229	3294
65	230	3260
66	231	3221
67	231	3177
68	232	3140
69	233	3104
70	234	3069
71	235	3036
72	236	3009
73	238	2980
74	239	2949
75	240	2925
76	241	2900
77	242	2871
78	243	2842
79	244	2816
80	246	2796
81	247	2772
82	248	2747
83	249	2722
84	250	2698
85	252	2681
86	252	2654
87	253	2631
88	254	2609
89	256	2592
90	258	2580
91	259	2562
92	260	2541
93	261	2524
94	262	2504
95	263	2484
96	264	2466
97	265	2447
98	267	2431
99	268	2413
100	269	2394
101	269	2373
102	270	2354
103	271	2339
104	272	2324
105	273	2307
106	274	2291
107	275	2274
108	276	2258
109	277	2248
110	278	2234
111	279	2219
112	280	2204
113	281	2188
114	282	2175
115	283	2160
116	284	2145
117	285	2132
118	286	2117
119	286	2103
120	288	2092
121	289	2080
122	289	2064
123	290	2051
124	291	2038
125	292	2026
126	293	2016
127	294	2003
128	295	1992
129	295	1980
130	296	1969
131	297	1957
132	298	1948
133	299	1938
134	300	1928
135	301	1917
136	302	1906
137	303	1896
138	304	1887
139	305	1877
140	307	1871
141	308	1861
142	309	1852
143	310	1844
144	311	1834
145	311	1824
146	312	1815
147	313	1805
148	314	1797
149	315	1788
150	316	1779
151	317	1770
152	318	1761
153	319	1753
154	320	1745
155	321	1738
156	322	1730
157	323	1723
158	324	1715
159	325	1707
160	326	1700
161	327	1692
162	328	1684
163	329	1677
164	329	1669
165	330	1662
166	331	1654
167	332	1646
168	333	1638
169	334	1632
170	335	1625
171	336	1618
172	336	1610
173	337	1603
174	338	1595
175	339	1588
176	340	1582
177	341	1576
178	342	1570
179	343	1564
180	344	1557
181	344	1550
182	345	1543
183	346	1538
184	348	1534
185	349	1529
186	350	1523
187	351	1517
188	352	1512
189	353	1507
190	354	1502
191	355	1497
192	356	1491
193	357	1487
194	359	1483
195	360	1480
196	362	1476
197	363	1472
198	364	1467
199	365	1463
200	366	1457
201	367	1453
202	369	1449
203	370	1444
204	371	1439
205	372	1434
206	374	1435
207	376	1433
208	377	1429
209	380	1430
210	381	1425
211	382	1420
212	383	1415
213	384	1411
214	385	1406
215	386	1401
216	387	1396
217	388	1392
218	389	1388
219	390	1385
220	391	1380
221	392	1375
222	393	1370
223	394	1366
224	395	1362
225	397	1359
226	405	1379
227	406	1375
228	407	1372
229	408	1368
230	410	1365
231	411	1361
232	412	1359
233	414	1355
234	414	1350
235	416	1347
236	418	1346
237	419	1342
238	420	1339
239	421	1335
240	422	1330
241	423	1327
242	424	1322
243	425	1318
244	426	1313
245	427	1309
246	428	1306
247	429	1301
248	430	1297
249	431	1293
250	432	1289
251	433	1285
252	434	1281
253	435	1277
254	435	1273
255	436	1269
256	437	1265
257	438	1261
258	439	1258
259	440	1254
260	441	1250
261	442	1246
262	443	1242
263	444	1239
264	445	1236
265	447	1234
266	448	1231
267	449	1228
268	450	1224
269	451	1221
270	452	1217
271	453	1214
272	454	1211
273	456	1209
274	457	1205
275	458	1202
276	459	1198
277	460	1196
278	461	1193
279	462	1190
280	464	1187
281	465	1184
282	466	1182
283	468	1180
284	469	1177
285	470	1174
286	472	1172
287	473	1169
288	474	1166
289	477	1168
290	478	1165
291	479	1162
292	480	1158
293	481	1155
294	482	1153
295	483	1149
296	484	1146
297	485	1143
298	486	1140
299	487	1137
300	488	1134
301	489	1132
302	490	1128
303	491	1125
304	492	1122
305	493	1119
306	494	1116
307	495	1113
308	496	1110
309	497	1107
310	498	1105
311	499	1102
312	500	1099
313	502	1096
314	503	1094
315	504	1091
316	505	1088
317	506	1085
318	507	1083
319	508	1080
320	509	1078
321	511	1076
322	512	1073
323	513	1070
